"作物名称","类别","代表品种","适宜温度范围","适宜土壤类型","适宜pH范围","生长周期(天)","需水量","光照要求","主要病害","适宜播种季节","耐寒性","耐旱性","地域适配","亩产参考"
"水稻","粮食作物","象牙香占、甬优1540","20-30°C","壤土、黏土","6.0-7.5","120-150","高","充足","稻瘟病、纹枯病、稻飞虱","春季、夏季","低","低","南方为主","500-600公斤"
"冬小麦","粮食作物","济麦22、郑麦366","12-20°C","壤土、沙壤土","6.0-7.5","230-250","中","充足","条锈病、赤霉病、白粉病","秋季","高","中","北方为主","400-550公斤"
"春小麦","粮食作物","龙麦35、宁春50","15-20°C","壤土","6.0-7.5","90-110","中","充足","锈病、根腐病","春季","高","中","北方为主","300-400公斤"
"玉米","粮食作物","郑单958、先玉335","22-30°C","壤土、沙壤土","5.5-7.5","90-130","中","充足","大斑病、小斑病、玉米螟","春季、夏季","低","中","全国通用","500-700公斤"
"大豆","粮食作物","中黄13、黑河43","20-25°C","壤土、沙壤土","6.0-7.0","90-120","中","充足","根腐病、霜霉病、食心虫","春季、夏季","中","中","北方为主","150-250公斤"
"甘薯","粮食作物","烟薯25、济薯26","20-30°C","沙壤土、壤土","5.5-6.5","120-160","中","充足","黑斑病、根腐病","春季、夏季","低","高","全国通用","2000-3000公斤(鲜薯)"
"马铃薯","粮食作物","费乌瑞它、冀张薯12","15-20°C","沙壤土、壤土","5.5-6.5","80-110","中","充足","晚疫病、早疫病、青枯病","春季、秋季","中","中","北方为主","2000-3000公斤(鲜薯)"
"高粱","粮食作物","晋杂22、辽杂19","22-30°C","壤土、沙壤土","6.0-7.5","100-130","低","充足","炭疽病、丝黑穗病","春季","中","高","北方为主","400-600公斤"
"谷子","粮食作物","张杂谷系列","20-28°C","沙壤土、壤土","6.0-7.5","90-120","低","充足","谷瘟病、白发病","春季、夏季","中","高","北方为主","300-450公斤"
"燕麦","粮食作物","皮燕麦、裸燕麦","15-20°C","壤土、沙壤土","6.0-7.0","80-100","中","充足","锈病、黑穗病","春季","高","高","北方为主","200-300公斤"
"大白菜","蔬菜","北京新三号、青杂三号","15-22°C","壤土、黏壤土","6.0-7.0","60-90","中","中等","霜霉病、软腐病、病毒病","秋季","中","中","全国通用","5000-7500公斤"
"番茄","蔬菜","中杂9号、金棚1号","20-28°C","壤土、沙壤土","6.0-7.0","100-130","中","充足","晚疫病、早疫病、青枯病","春季、秋季","低","中","全国通用","5000-8000公斤"
"黄瓜","蔬菜","津春4号、中农26","25-30°C","壤土","6.0-7.0","60-90","高","中等","霜霉病、白粉病、枯萎病","春季、秋季","低","低","全国通用","5000-10000公斤"
"辣椒","蔬菜","线椒、螺丝椒","20-30°C","壤土","6.0-7.0","90-120","中","充足","疫病、炭疽病、病毒病","春季","低","中","全国通用","2000-3500公斤(鲜椒)"
"茄子","蔬菜","紫长茄、京茄系列","22-30°C","壤土","6.0-7.0","100-130","中","充足","黄萎病、褐纹病、绵疫病","春季","低","中","全国通用","4000-6000公斤"
"萝卜","蔬菜","心里美、白玉春","15-20°C","沙壤土、壤土","5.8-6.5","60-90","中","中等","黑腐病、霜霉病","秋季","中","中","全国通用","4000-6000公斤"
"胡萝卜","蔬菜","红芯六号","18-22°C","沙壤土","5.5-7.0","90-120","中","充足","黑斑病、软腐病","秋季","中","中","全国通用","3000-5000公斤"
"菠菜","蔬菜","圆叶菠菜、尖叶菠菜","15-20°C","壤土","6.0-7.0","30-50","中","中等","霜霉病、炭疽病","秋季、春季","高","中","全国通用","1500-2500公斤"
"生菜","蔬菜","结球生菜、奶油生菜","15-20°C","壤土、沙壤土","6.0-7.0","40-60","中","中等","霜霉病、软腐病","春季、秋季","中","低","全国通用","2000-3000公斤"
"菜豆","蔬菜","架豆王、四季豆","20-28°C","壤土","6.0-7.0","60-80","中","充足","锈病、炭疽病、根腐病","春季、秋季","低","中","全国通用","1500-2500公斤"
"洋葱","蔬菜","黄皮洋葱、红皮洋葱","12-25°C","壤土、沙壤土","6.0-7.0","180-260","中","充足","霜霉病、紫斑病","秋季","高","中","北方为主","4000-6000公斤"
"大蒜","蔬菜","苍山大蒜、金乡大蒜","12-25°C","壤土、沙壤土","6.0-7.0","220-260","中","充足","叶枯病、紫斑病、蒜蛆","秋季","高","中","北方为主","1500-2500公斤(蒜头)"
"芹菜","蔬菜","西芹、本芹","15-20°C","壤土、黏壤土","6.0-7.0","80-120","高","中等","斑枯病、软腐病","秋季","中","低","全国通用","5000-8000公斤"
"花椰菜","蔬菜","雪宝、雪山","15-20°C","壤土","6.0-7.0","80-110","中","中等","黑腐病、霜霉病","秋季","中","中","全国通用","2000-3000公斤"
"西瓜","水果","早佳8424、京欣2号","25-32°C","沙壤土","5.5-7.0","80-100","中","充足","枯萎病、炭疽病、蔓枯病","春季","低","中","全国通用","3000-5000公斤"
"草莓","水果","红颜、章姬","15-25°C","沙壤土、壤土","5.5-6.5","60-90(定植至初采)","中","中等","灰霉病、白粉病、炭疽病","秋季","中","低","全国通用","2000-3000公斤"
